STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Pays,SER,Série,TIME_PERIOD,Année,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,8490000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,41413000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,26160000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,9255000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-REV-TOT,Total des recettes des télécommunications,2015,,41919500000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,31518421053,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,8044289000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUS,Australie,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,6048337594,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,2505857,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,18432380,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,13470623,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,4514876,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,629627,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-REV-TOT,Total des recettes des télécommunications,2015,,3936716200,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,4374129111,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,661500000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,AUT,Autriche,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,735000000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,3822453,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,20717592,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,12774090,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,4746857,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,2967502,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-REV-TOT,Total des recettes des télécommunications,2015,,7180743701.03454,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,7978604112,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,1398126273.4,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,BEL,Belgique,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,1553473637,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,15612271,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,58491028,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,29765396,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,4188955,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,626000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,8771305,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-REV-TOT,Total des recettes des télécommunications,2015,,47801485347.1308,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,37344910427,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,10461431644,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CAN,Canada,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,8172993472,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,818006,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,17804654,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,14016622,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,4892907,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,899765,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,735313,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-REV-TOT,Total des recettes des télécommunications,2015,,114092098833.75,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,4637890196,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,14519116295,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,CZE,Tchéquie,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,590207979,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,610181,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,10094392,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,7079249,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-MOB-PP,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,2015,,807317,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-VOIP-SUB,Total Internet Protocol (IP) telephone subscriptions,2015,,908579,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-CATV-SUB,Nombre d’abonnés à la télévision par câble,2015,,1604800,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-REV-TOT,Total des recettes des télécommunications,2015,,39307581916.0259,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-REV-USD,Total des recettes des télécommunications USD,2015,,5840651102,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-INV-TOT,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),2015,,6711476596.93,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,DNK,Danemark,TEL-INV-USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,2015,,997247637,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-ACC-LINE,Total des lignes d'accès téléphoniques,2015,,544000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-ACC-PATH,Total des voies d'accès de communication,2015,,11602000,,A,,,,,,,
DATAFLOW,OECD:DF_TEL(1.0),Statistiques sur les télécommunications,I,FIN,Finlande,TEL-MOB-SUB,Total des abonnements au téléphone cellulaire mobile,2015,,9330000,,A,,,,,,,
